"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03115";"NORMANDIA";"3";"7";"Deputado Estadual";"230000000306";"90321";"ANTONIA MARIA ALVES DE MORAIS";"ANTONIA MARIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"7";"Deputado Estadual";"230000000020";"50132";"LUCIVANIA PEREIRA DA SILVA";"VANIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"50";"PSOL";"Partido Socialismo e Liberdade";"230000000005";"ALTERNATIVA DE ESQUERDA PARA RORAIMA II";"PSOL / PSTU";"4";"NÃO ELEITO";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03026";"IRACEMA";"6";"7";"Deputado Estadual";"230000000306";"90321";"ANTONIA MARIA ALVES DE MORAIS";"ANTONIA MARIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03123";"PACARAIMA";"7";"7";"Deputado Estadual";"230000000020";"50132";"LUCIVANIA PEREIRA DA SILVA";"VANIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"50";"PSOL";"Partido Socialismo e Liberdade";"230000000005";"ALTERNATIVA DE ESQUERDA PARA RORAIMA II";"PSOL / PSTU";"4";"NÃO ELEITO";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03034";"CARACARAÍ";"2";"7";"Deputado Estadual";"230000000327";"40555";"LEONICE NEVES PINTO COSTA";"MISSIONARIA LEONICE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03158";"SÃO LUIZ";"4";"7";"Deputado Estadual";"230000000075";"44355";"MARCÍLIO DINELLI DA SILVA";"PRIMO DINELLIS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"44";"PRP";"Partido Republicano Progressista";"230000000007";"PARTIDO ISOLADO";"PRP";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"7";"Deputado Estadual";"230000000245";"20111";"GLEDSON OLIVEIRA DA COSTA";"GLEDSON COSTA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"230000000012";"RORAIMA SEMPRE UNIDA";"PR / PSC / PMN / PEN";"5";"SUPLENTE";"N";"4"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"5";"Senador";"230000000006";"456";"JOSE DE ANCHIETA JUNIOR";"ANCHIETA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"230000000002";"PARTIDO ISOLADO";"PSDB";"4";"NÃO ELEITO";"N";"7771"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03069";"CANTÁ";"3";"7";"Deputado Estadual";"230000000051";"44101";"ANTONIO FRANCISCO DA SILVA";"TOINHO CAMPEÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"44";"PRP";"Partido Republicano Progressista";"230000000007";"PARTIDO ISOLADO";"PRP";"5";"SUPLENTE";"N";"17"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"7";"Deputado Estadual";"230000000425";"65231";"MÁRIO NICACIO";"MÁRIO NICACIO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"230000000020";"A FORÇA DO TRABALHADOR";"PT / PC do B";"5";"SUPLENTE";"N";"8"
